y_true,clean,gray,n,CR,arm
52,0.8027397260273973,0.6164383561643836,365,0.1863013698630137,convnext_tiny_in1k
53,0.9902439024390244,0.8926829268292683,205,0.09756097560975607,convnext_tiny_in1k
54,0.9333333333333333,0.5529411764705883,255,0.3803921568627451,convnext_tiny_in1k
55,0.9910112359550561,0.5146067415730337,445,0.4764044943820225,convnext_tiny_in1k
56,0.9787234042553191,0.9872340425531915,235,-0.008510638297872353,convnext_tiny_in1k
57,1.0,0.48723404255319147,470,0.5127659574468085,convnext_tiny_in1k
58,1.0,0.2765957446808511,235,0.7234042553191489,convnext_tiny_in1k
59,1.0,0.8584269662921349,445,0.14157303370786511,convnext_tiny_in1k
60,1.0,0.4266666666666667,150,0.5733333333333333,convnext_tiny_in1k
61,0.92,0.2342857142857143,175,0.6857142857142857,convnext_tiny_in1k
62,1.0,0.7411764705882353,170,0.2588235294117647,convnext_tiny_in1k
63,1.0,0.95,160,0.050000000000000044,convnext_tiny_in1k
64,0.9341463414634147,0.4975609756097561,410,0.4365853658536586,convnext_tiny_in1k
65,1.0,0.9902439024390244,205,0.009756097560975618,convnext_tiny_in1k
66,0.8272727272727273,0.7,110,0.12727272727272732,convnext_tiny_in1k
67,0.9352941176470588,0.9294117647058824,170,0.00588235294117645,convnext_tiny_in1k
68,1.0,0.9176470588235294,170,0.08235294117647063,convnext_tiny_in1k
69,1.0,0.7523809523809524,210,0.24761904761904763,convnext_tiny_in1k
70,0.993103448275862,0.5620689655172414,290,0.43103448275862066,convnext_tiny_in1k
71,0.8789473684210526,0.44473684210526315,380,0.43421052631578944,convnext_tiny_in1k
72,0.9402298850574713,0.8942528735632184,870,0.04597701149425293,convnext_tiny_in1k
73,0.8225165562913908,0.3748344370860927,755,0.44768211920529805,convnext_tiny_in1k
74,0.968,0.962,500,0.006000000000000005,convnext_tiny_in1k
75,0.9655172413793104,0.7839080459770115,435,0.18160919540229892,convnext_tiny_in1k
76,0.9541125541125541,0.8415584415584415,1155,0.11255411255411263,convnext_tiny_in1k
77,0.9196581196581196,0.7350427350427351,585,0.18461538461538451,convnext_tiny_in1k
78,1.0,0.9904761904761905,105,0.00952380952380949,convnext_tiny_in1k
79,0.9647058823529412,0.7576470588235295,425,0.20705882352941174,convnext_tiny_in1k
80,0.9876712328767123,0.626027397260274,730,0.3616438356164383,convnext_tiny_in1k
81,0.9217391304347826,0.8021739130434783,460,0.11956521739130432,convnext_tiny_in1k
82,0.8072072072072072,0.6126126126126126,555,0.1945945945945946,convnext_tiny_in1k
83,0.8090909090909091,0.7090909090909091,330,0.09999999999999998,convnext_tiny_in1k
84,0.9767441860465116,0.6232558139534884,215,0.3534883720930232,convnext_tiny_in1k
85,0.9842105263157894,0.9894736842105263,190,-0.0052631578947368585,convnext_tiny_in1k
86,0.9674418604651163,0.9302325581395349,215,0.037209302325581395,convnext_tiny_in1k
87,0.8537313432835821,0.6567164179104478,670,0.19701492537313436,convnext_tiny_in1k
88,0.9585365853658536,0.2914634146341463,820,0.6670731707317072,convnext_tiny_in1k
89,0.8709677419354839,0.02258064516129032,310,0.8483870967741935,convnext_tiny_in1k
90,0.9785714285714285,0.9214285714285714,280,0.05714285714285716,convnext_tiny_in1k
