y_true,clean,gray,n,CR,arm
167,0.8827586206896552,0.013793103448275862,145,0.8689655172413793,resnet50
168,0.9379310344827586,0.0,145,0.9379310344827586,resnet50
169,0.76,0.006666666666666667,150,0.7533333333333333,resnet50
170,0.8266666666666667,0.26666666666666666,150,0.56,resnet50
171,0.8266666666666667,0.0,150,0.8266666666666667,resnet50
172,0.54,0.14666666666666667,150,0.39333333333333337,resnet50
173,0.7533333333333333,0.38666666666666666,150,0.36666666666666664,resnet50
174,0.7533333333333333,0.0,150,0.7533333333333333,resnet50
175,0.9666666666666667,0.0,150,0.9666666666666667,resnet50
176,0.9733333333333334,0.0,150,0.9733333333333334,resnet50
177,0.8307692307692308,0.6692307692307692,130,0.16153846153846163,resnet50
178,0.6206896551724138,0.19310344827586207,145,0.42758620689655175,resnet50
179,0.8266666666666667,0.0,150,0.8266666666666667,resnet50
180,0.8551724137931035,0.6827586206896552,145,0.1724137931034483,resnet50
181,0.9133333333333333,0.13333333333333333,150,0.78,resnet50
182,0.8933333333333333,0.6466666666666666,150,0.2466666666666667,resnet50
183,0.8333333333333334,0.8866666666666667,150,-0.053333333333333344,resnet50
184,0.9133333333333333,0.72,150,0.19333333333333336,resnet50
185,0.9133333333333333,0.58,150,0.33333333333333337,resnet50
186,0.96,0.86,100,0.09999999999999998,resnet50
187,0.9666666666666667,0.8066666666666666,150,0.16000000000000003,resnet50
188,1.0,0.8066666666666666,150,0.19333333333333336,resnet50
189,0.9310344827586207,0.9172413793103448,145,0.01379310344827589,resnet50
190,0.8266666666666667,0.02666666666666667,150,0.8,resnet50
191,0.9666666666666667,0.88,150,0.08666666666666667,resnet50
192,0.7,0.09333333333333334,150,0.6066666666666666,resnet50
193,0.9266666666666666,0.7733333333333333,150,0.15333333333333332,resnet50
194,0.8466666666666667,0.29333333333333333,150,0.5533333333333333,resnet50
195,0.64,0.5,150,0.14,resnet50
196,0.6733333333333333,0.3333333333333333,150,0.34,resnet50
