dataset,model,seed,bin,n,acc,macro_f1,uar
cub200,swin_tiny_gray,1,high,1930,0.7031088082901554,0.6704911915251194,0.7093977305530638
cub200,swin_tiny_gray,2,overall,5794,0.7186744908526062,0.7175367455988331,0.7214396976408537
cub200,swin_tiny_gray,2,low,1930,0.7212435233160622,0.6679107113661346,0.7031583288492246
cub200,swin_tiny_gray,2,mid,1934,0.7264736297828335,0.7134131503263136,0.7216203281367755
cub200,swin_tiny_gray,2,high,1930,0.7082901554404145,0.6787964130849494,0.7111878021614474
cub200,swin_tiny_gray,3,overall,5794,0.7167759751467034,0.7162734082913832,0.720433098638417
cub200,swin_tiny_gray,3,low,1930,0.727979274611399,0.6812916540211333,0.7154266350294571
cub200,swin_tiny_gray,3,mid,1934,0.7192347466390899,0.6996476394586094,0.7114116661846924
cub200,swin_tiny_gray,3,high,1930,0.7031088082901554,0.682380443171417,0.7160706977769417
cub200,swin_tiny_gray,4,overall,5794,0.7179841215050051,0.717396016315227,0.7210434907443312
cub200,swin_tiny_gray,4,low,1930,0.7253886010362695,0.6726462885220024,0.7089048232799211
cub200,swin_tiny_gray,4,mid,1934,0.7295760082730093,0.7053517239979774,0.7178905206635469
cub200,swin_tiny_gray,4,high,1930,0.6989637305699482,0.6718623626665696,0.7031685137528082
cub200,resnet50_tv_sgd,0,overall,5794,0.8075595443562306,0.8066807130411949,0.8092657215092907
cub200,resnet50_tv_sgd,0,low,1930,0.7839378238341969,0.7805528800895155,0.8048711680987582
cub200,resnet50_tv_sgd,0,mid,1934,0.8262668045501551,0.8096359795246684,0.8180799156983367
cub200,resnet50_tv_sgd,0,high,1930,0.8124352331606217,0.7573768435042131,0.7858862870864131
cub200,resnet50_tv_sgd,1,overall,5794,0.8103210217466345,0.8091065530645796,0.8129481174477229
cub200,resnet50_tv_sgd,1,low,1930,0.7891191709844559,0.7758345975400062,0.8042158846682859
cub200,resnet50_tv_sgd,1,mid,1934,0.8195449844881075,0.8015289918336793,0.8144818887253098
cub200,resnet50_tv_sgd,1,high,1930,0.822279792746114,0.7718094300177227,0.80134916276805
cub200,resnet50_tv_sgd,2,overall,5794,0.812219537452537,0.811186742844028,0.814144708199411
cub200,resnet50_tv_sgd,2,low,1930,0.7870466321243523,0.779738652252905,0.8011079304182901
cub200,resnet50_tv_sgd,2,mid,1934,0.8231644260599793,0.8076031130340027,0.8176361606230027
cub200,resnet50_tv_sgd,2,high,1930,0.8264248704663213,0.7738691720644533,0.8013806949158464
cub200,resnet50_tv_sgd,3,overall,5794,0.8170521228857439,0.8164069143857366,0.8194274706796604
cub200,resnet50_tv_sgd,3,low,1930,0.7927461139896373,0.7843682987002266,0.8069018297894947
cub200,resnet50_tv_sgd,3,mid,1934,0.8314374353671148,0.8141497822143984,0.8259351784910995
