dataset,model,seed,condition,kind,param,n,acc,macro_f1,uar
cub200,vit_small_in1k,0,shuffle_102,shuffle,"(1, 0, 2)",5794,0.4152571625819813,0.4026738827526803,0.4195502267633964
cub200,vit_small_in1k,0,shuffle_120,shuffle,"(1, 2, 0)",5794,0.2424922333448395,0.2316503963032878,0.249133489662942
cub200,vit_small_in1k,0,shuffle_201,shuffle,"(2, 0, 1)",5794,0.2397307559544356,0.2422768329025337,0.2458912680798777
cub200,vit_small_in1k,0,shuffle_210,shuffle,"(2, 1, 0)",5794,0.2844321712115982,0.2769048282690109,0.2911318716200551
cub200,vit_small_in1k,0,quant_2,quant,2,5794,0.0331377286848463,0.021600713008952,0.0337025792235884
cub200,vit_small_in1k,0,quant_4,quant,4,5794,0.5472903003106662,0.5373132603614844,0.5497891579985401
cub200,vit_small_in1k,0,quant_8,quant,8,5794,0.7397307559544356,0.7367345905531435,0.7406808225434637
cub200,vit_small_in1k,0,quant_16,quant,16,5794,0.7844321712115983,0.7829260701343612,0.7859060691296744
cub200,vit_small_in1k,1,clean,clean,0,5794,0.7884017949603037,0.7867087275132036,0.7893373317153402
cub200,vit_small_in1k,1,grayscale,grayscale,,5794,0.3001380738695202,0.2580439197899086,0.3055206137780903
cub200,vit_small_in1k,1,hue_-0.500,hue,-0.5,5794,0.3066965826717294,0.3096009504156775,0.3128488977588836
cub200,vit_small_in1k,1,hue_-0.250,hue,-0.25,5794,0.2635484984466689,0.2494890201599757,0.2699925028386718
cub200,vit_small_in1k,1,hue_-0.083,hue,-0.083,5794,0.4820503969623749,0.4729252814039097,0.4874570554748097
cub200,vit_small_in1k,1,hue_+0.083,hue,0.083,5794,0.5091473938557128,0.512340887567888,0.51487897831672
cub200,vit_small_in1k,1,hue_+0.250,hue,0.25,5794,0.2604418363824646,0.2614723460271067,0.2686250301466509
cub200,vit_small_in1k,1,hue_+0.500,hue,0.5,5794,0.3066965826717294,0.3096009504156775,0.3128488977588836
cub200,vit_small_in1k,1,shuffle_021,shuffle,"(0, 2, 1)",5794,0.3755609250949258,0.3567143124360707,0.3820935200007243
cub200,vit_small_in1k,1,shuffle_102,shuffle,"(1, 0, 2)",5794,0.4207801173627891,0.4194602133278916,0.4261674249491854
cub200,vit_small_in1k,1,shuffle_120,shuffle,"(1, 2, 0)",5794,0.2535381429064549,0.2378581365343022,0.2618646425088862
cub200,vit_small_in1k,1,shuffle_201,shuffle,"(2, 0, 1)",5794,0.242147048671039,0.2474199278035811,0.2500777488006439
