dataset,model,seed,condition,kind,param,n,acc,macro_f1,uar
flowers102,convnext_tiny_in1k,3,quant_8,quant,8,6149,0.8326557163766466,0.840420323507166,0.864760387339253
flowers102,convnext_tiny_in1k,3,quant_16,quant,16,6149,0.9025857863067164,0.903637492682956,0.9251796353971844
flowers102,convnext_tiny_in1k,4,clean,clean,0,6149,0.9303951862091396,0.9299521678115382,0.9454599357141044
flowers102,convnext_tiny_in1k,4,grayscale,grayscale,,6149,0.675069116929582,0.6317027325804904,0.6893133789197469
flowers102,convnext_tiny_in1k,4,hue_-0.500,hue,-0.5,6149,0.7288990079687754,0.7320475897622153,0.7597075915243641
flowers102,convnext_tiny_in1k,4,hue_-0.250,hue,-0.25,6149,0.5978207838672955,0.5942263147084209,0.6288340011348404
flowers102,convnext_tiny_in1k,4,hue_-0.083,hue,-0.083,6149,0.8734753618474549,0.8595468236220787,0.8770497292345677
flowers102,convnext_tiny_in1k,4,hue_+0.083,hue,0.083,6149,0.8555862741909254,0.8592237665903332,0.8769324632206531
flowers102,convnext_tiny_in1k,4,hue_+0.250,hue,0.25,6149,0.6887298747763864,0.6759426978922907,0.6921942584777865
flowers102,convnext_tiny_in1k,4,hue_+0.500,hue,0.5,6149,0.7288990079687754,0.7320475897622153,0.7597075915243641
flowers102,convnext_tiny_in1k,4,shuffle_021,shuffle,"(0, 2, 1)",6149,0.7184908115140674,0.7095639032186993,0.7374952466789487
flowers102,convnext_tiny_in1k,4,shuffle_102,shuffle,"(1, 0, 2)",6149,0.8212717515043096,0.8163857975428969,0.8367823481954323
flowers102,convnext_tiny_in1k,4,shuffle_120,shuffle,"(1, 2, 0)",6149,0.6080663522523988,0.6047342774093389,0.640210312329618
flowers102,convnext_tiny_in1k,4,shuffle_201,shuffle,"(2, 0, 1)",6149,0.7007643519271426,0.6780955651981837,0.6993809414197771
flowers102,convnext_tiny_in1k,4,shuffle_210,shuffle,"(2, 1, 0)",6149,0.7453244429988616,0.7353325691061791,0.7593916181662534
flowers102,convnext_tiny_in1k,4,quant_2,quant,2,6149,0.6428687591478289,0.6563716397237453,0.6849333918306028
flowers102,convnext_tiny_in1k,4,quant_4,quant,4,6149,0.8072857375182957,0.8036858803628764,0.8303246014140251
flowers102,convnext_tiny_in1k,4,quant_8,quant,8,6149,0.88209464953651,0.8761944799448641,0.8931786324371094
flowers102,convnext_tiny_in1k,4,quant_16,quant,16,6149,0.9177101967799642,0.9181329706533696,0.9324312605697676
flowers102,vit_small_in1k,0,clean,clean,0,6149,0.8755895267523175,0.8729823089677747,0.8980736692776962
flowers102,vit_small_in1k,0,grayscale,grayscale,,6149,0.3542039355992844,0.3124422379221702,0.3600733626666829
flowers102,vit_small_in1k,0,hue_-0.500,hue,-0.5,6149,0.4607253211904374,0.4288636120396755,0.4828759720025135
flowers102,vit_small_in1k,0,hue_-0.250,hue,-0.25,6149,0.3294844690193527,0.3152220439586978,0.3458136506691899
flowers102,vit_small_in1k,0,hue_-0.083,hue,-0.083,6149,0.7114978045210604,0.7097045493261324,0.7347348512341759
flowers102,vit_small_in1k,0,hue_+0.083,hue,0.083,6149,0.7419092535371605,0.7407042316795781,0.7684167329731173
flowers102,vit_small_in1k,0,hue_+0.250,hue,0.25,6149,0.3792486583184257,0.3535940671398832,0.3936941815482621
flowers102,vit_small_in1k,0,hue_+0.500,hue,0.5,6149,0.4607253211904374,0.4288326019170498,0.4828759720025135
flowers102,vit_small_in1k,0,shuffle_021,shuffle,"(0, 2, 1)",6149,0.4787770369165718,0.4516074944588465,0.4856992194550204
flowers102,vit_small_in1k,0,shuffle_102,shuffle,"(1, 0, 2)",6149,0.5317937876077411,0.5078963857404685,0.5604691478931992
flowers102,vit_small_in1k,0,shuffle_120,shuffle,"(1, 2, 0)",6149,0.3340380549682875,0.3085551387784858,0.3457652759067588
flowers102,vit_small_in1k,0,shuffle_201,shuffle,"(2, 0, 1)",6149,0.3898194828427386,0.3515704526510465,0.3937043601897448
flowers102,vit_small_in1k,0,shuffle_210,shuffle,"(2, 1, 0)",6149,0.5166693771344935,0.5046814705851868,0.5362572372935225
flowers102,vit_small_in1k,0,quant_2,quant,2,6149,0.0805008944543828,0.047097352832429,0.0924315613922317
flowers102,vit_small_in1k,0,quant_4,quant,4,6149,0.6627093836396162,0.6535556413903658,0.6807199957102827
flowers102,vit_small_in1k,0,quant_8,quant,8,6149,0.8214343795739144,0.8187946989430537,0.8459041612315402
flowers102,vit_small_in1k,0,quant_16,quant,16,6149,0.8645308180191901,0.8608372628495858,0.8871963843894025
flowers102,vit_small_in1k,1,clean,clean,0,6149,0.8711985688729875,0.868821610302508,0.8926969884316251
flowers102,vit_small_in1k,1,grayscale,grayscale,,6149,0.3488372093023256,0.3152512787271972,0.3494263395335536
flowers102,vit_small_in1k,1,hue_-0.500,hue,-0.5,6149,0.4390957879329972,0.4343047270645105,0.4460481930710468
flowers102,vit_small_in1k,1,hue_-0.250,hue,-0.25,6149,0.3088307041795414,0.2964816952565772,0.3110587613877766
flowers102,vit_small_in1k,1,hue_-0.083,hue,-0.083,6149,0.7261343307854936,0.7246837931171497,0.7463306395304167
flowers102,vit_small_in1k,1,hue_+0.083,hue,0.083,6149,0.7194665799316962,0.7296239650227289,0.7552573009578006
flowers102,vit_small_in1k,1,hue_+0.250,hue,0.25,6149,0.389494226703529,0.3856512725630472,0.4082731516528662
flowers102,vit_small_in1k,1,hue_+0.500,hue,0.5,6149,0.4387705317937876,0.4340146340623123,0.4457356396561566
flowers102,vit_small_in1k,1,shuffle_021,shuffle,"(0, 2, 1)",6149,0.4641405106521385,0.4382281662202116,0.4660176440572061
flowers102,vit_small_in1k,1,shuffle_102,shuffle,"(1, 0, 2)",6149,0.5978207838672955,0.5909036582458923,0.6298534254577692
flowers102,vit_small_in1k,1,shuffle_120,shuffle,"(1, 2, 0)",6149,0.3328996584810538,0.3186626416545904,0.3361397775125493
flowers102,vit_small_in1k,1,shuffle_201,shuffle,"(2, 0, 1)",6149,0.3805496828752642,0.3664193336970698,0.390581234814973
flowers102,vit_small_in1k,1,shuffle_210,shuffle,"(2, 1, 0)",6149,0.4584485282159701,0.4661261245113529,0.475947330027293
flowers102,vit_small_in1k,1,quant_2,quant,2,6149,0.0832655716376646,0.0432872654233499,0.084513625423618
flowers102,vit_small_in1k,1,quant_4,quant,4,6149,0.6186371767767117,0.6245577006697149,0.649252570340912
flowers102,vit_small_in1k,1,quant_8,quant,8,6149,0.7981785656204261,0.8033245692627423,0.830134786511651
flowers102,vit_small_in1k,1,quant_16,quant,16,6149,0.8498942917547568,0.8491744336468181,0.8748666806668598
flowers102,vit_small_in1k,2,clean,clean,0,6149,0.8710359408033826,0.8684821645038066,0.8918179158176787
flowers102,vit_small_in1k,2,grayscale,grayscale,,6149,0.3351764514555212,0.2751658932388641,0.3382313050455733
flowers102,vit_small_in1k,2,hue_-0.500,hue,-0.5,6149,0.4732476825500081,0.446620189092475,0.4674249861581666
flowers102,vit_small_in1k,2,hue_-0.250,hue,-0.25,6149,0.3132216620588713,0.2924809070920565,0.3155713060230901
flowers102,vit_small_in1k,2,hue_-0.083,hue,-0.083,6149,0.7020653764839812,0.6895352089546799,0.7209661554195819
flowers102,vit_small_in1k,2,hue_+0.083,hue,0.083,6149,0.7022280045535859,0.702479101532914,0.7300068481744115
flowers102,vit_small_in1k,2,hue_+0.250,hue,0.25,6149,0.3740445600910717,0.3399625778989812,0.3725347371677758
flowers102,vit_small_in1k,2,hue_+0.500,hue,0.5,6149,0.4732476825500081,0.446620189092475,0.4674249861581666
flowers102,vit_small_in1k,2,shuffle_021,shuffle,"(0, 2, 1)",6149,0.4737355667588225,0.4318580553886687,0.4561802689186697
flowers102,vit_small_in1k,2,shuffle_102,shuffle,"(1, 0, 2)",6149,0.5524475524475524,0.5304954242346388,0.570307365627098
flowers102,vit_small_in1k,2,shuffle_120,shuffle,"(1, 2, 0)",6149,0.3325744023418442,0.3065119522125528,0.3315473286944237
flowers102,vit_small_in1k,2,shuffle_201,shuffle,"(2, 0, 1)",6149,0.3647747601235973,0.3308808236107687,0.361187000040414
flowers102,vit_small_in1k,2,shuffle_210,shuffle,"(2, 1, 0)",6149,0.4761749878028948,0.4641054022998084,0.4891301466209616
flowers102,vit_small_in1k,2,quant_2,quant,2,6149,0.0648885997723207,0.0489249836507478,0.0680603960215578
flowers102,vit_small_in1k,2,quant_4,quant,4,6149,0.6651488046836884,0.6594314305875709,0.6832081141950845
flowers102,vit_small_in1k,2,quant_8,quant,8,6149,0.8189949585298423,0.8155441676230087,0.8429189799646275
flowers102,vit_small_in1k,2,quant_16,quant,16,6149,0.8588388355830217,0.8541398905827146,0.8797413711944672
flowers102,vit_small_in1k,3,clean,clean,0,6149,0.8807936249796715,0.8780716053242749,0.9002444109527501
flowers102,vit_small_in1k,3,grayscale,grayscale,,6149,0.3254187672792324,0.2728594580746844,0.3208911797922735
flowers102,vit_small_in1k,3,hue_-0.500,hue,-0.5,6149,0.4186046511627907,0.4111867631677234,0.4244463856244639
flowers102,vit_small_in1k,3,hue_-0.250,hue,-0.25,6149,0.3141974304765002,0.2889577325422318,0.3106423814321429
flowers102,vit_small_in1k,3,hue_-0.083,hue,-0.083,6149,0.7123109448690844,0.7052821642576578,0.7295951385947038
flowers102,vit_small_in1k,3,hue_+0.083,hue,0.083,6149,0.6929582045861116,0.6998517494458608,0.7295350741433149
