dataset,id,backbone,arm,seed,y_true,clean,gray,n_img,CR
flowers102,S1,ResNet-50,resnet50,1,96,0.8260869565217391,0.13043478260869565,46,0.6956521739130435
flowers102,S1,ResNet-50,resnet50,1,97,0.9354838709677419,0.8225806451612904,62,0.11290322580645151
flowers102,S1,ResNet-50,resnet50,1,98,0.9534883720930233,0.7209302325581395,43,0.2325581395348838
flowers102,S1,ResNet-50,resnet50,1,99,0.9655172413793104,0.3793103448275862,29,0.5862068965517242
flowers102,S1,ResNet-50,resnet50,1,100,0.8947368421052632,0.07894736842105263,38,0.8157894736842105
flowers102,S1,ResNet-50,resnet50,1,101,1.0,0.35714285714285715,28,0.6428571428571428
flowers102,S1,ResNet-50,resnet50,2,0,0.9,0.85,20,0.050000000000000044
flowers102,S1,ResNet-50,resnet50,2,1,0.925,0.9,40,0.025000000000000022
flowers102,S1,ResNet-50,resnet50,2,2,0.5,0.4,20,0.09999999999999998
flowers102,S1,ResNet-50,resnet50,2,3,0.3055555555555556,0.2222222222222222,36,0.08333333333333337
flowers102,S1,ResNet-50,resnet50,2,4,0.8888888888888888,0.0,45,0.8888888888888888
flowers102,S1,ResNet-50,resnet50,2,5,0.96,0.84,25,0.12
flowers102,S1,ResNet-50,resnet50,2,6,0.95,0.85,20,0.09999999999999998
flowers102,S1,ResNet-50,resnet50,2,7,1.0,0.8461538461538461,65,0.15384615384615385
flowers102,S1,ResNet-50,resnet50,2,8,0.8461538461538461,0.4230769230769231,26,0.4230769230769231
flowers102,S1,ResNet-50,resnet50,2,9,1.0,1.0,25,0.0
flowers102,S1,ResNet-50,resnet50,2,10,0.5970149253731343,0.3283582089552239,67,0.2686567164179104
flowers102,S1,ResNet-50,resnet50,2,11,0.9402985074626866,0.7761194029850746,67,0.16417910447761197
flowers102,S1,ResNet-50,resnet50,2,12,1.0,0.8275862068965517,29,0.1724137931034483
flowers102,S1,ResNet-50,resnet50,2,13,0.9642857142857143,1.0,28,-0.0357142857142857
flowers102,S1,ResNet-50,resnet50,2,14,1.0,0.1724137931034483,29,0.8275862068965517
flowers102,S1,ResNet-50,resnet50,2,15,0.9047619047619048,0.0,21,0.9047619047619048
flowers102,S1,ResNet-50,resnet50,2,16,0.9692307692307692,0.7846153846153846,65,0.18461538461538463
flowers102,S1,ResNet-50,resnet50,2,17,0.8548387096774194,0.7741935483870968,62,0.08064516129032262
flowers102,S1,ResNet-50,resnet50,2,18,0.8275862068965517,0.6551724137931034,29,0.1724137931034483
flowers102,S1,ResNet-50,resnet50,2,19,0.8333333333333334,0.8055555555555556,36,0.02777777777777779
flowers102,S1,ResNet-50,resnet50,2,20,0.85,0.3,20,0.55
flowers102,S1,ResNet-50,resnet50,2,21,0.9230769230769231,0.9230769230769231,39,0.0
flowers102,S1,ResNet-50,resnet50,2,22,0.8450704225352113,0.8169014084507042,71,0.028169014084507005
flowers102,S1,ResNet-50,resnet50,2,23,0.9545454545454546,0.4090909090909091,22,0.5454545454545454
flowers102,S1,ResNet-50,resnet50,2,24,1.0,0.8571428571428571,21,0.1428571428571429
flowers102,S1,ResNet-50,resnet50,2,25,0.9047619047619048,0.0,21,0.9047619047619048
flowers102,S1,ResNet-50,resnet50,2,26,1.0,0.45,20,0.55
flowers102,S1,ResNet-50,resnet50,2,27,0.8913043478260869,0.1956521739130435,46,0.6956521739130435
flowers102,S1,ResNet-50,resnet50,2,28,0.9482758620689655,0.5862068965517241,58,0.36206896551724144
flowers102,S1,ResNet-50,resnet50,2,29,0.676923076923077,0.38461538461538464,65,0.2923076923076923
flowers102,S1,ResNet-50,resnet50,2,30,0.84375,0.09375,32,0.75
flowers102,S1,ResNet-50,resnet50,2,31,0.84,0.92,25,-0.08000000000000007
