dataset,id,backbone,arm,seed,y_true,clean,gray,n_img,CR
cub200,S1,ResNet-50,resnet50,1,0,0.8333333333333334,0.5,30,0.33333333333333337
cub200,S1,ResNet-50,resnet50,1,1,0.7333333333333333,0.5666666666666667,30,0.16666666666666663
cub200,S1,ResNet-50,resnet50,1,2,0.8214285714285714,0.9285714285714286,28,-0.1071428571428572
cub200,S1,ResNet-50,resnet50,1,3,0.9,0.5666666666666667,30,0.33333333333333337
cub200,S1,ResNet-50,resnet50,1,4,0.8571428571428571,0.14285714285714285,14,0.7142857142857142
cub200,S1,ResNet-50,resnet50,1,5,0.8181818181818182,0.8181818181818182,11,0.0
cub200,S1,ResNet-50,resnet50,1,6,0.9130434782608695,0.6956521739130435,23,0.21739130434782605
cub200,S1,ResNet-50,resnet50,1,7,0.8888888888888888,0.6111111111111112,18,0.2777777777777777
cub200,S1,ResNet-50,resnet50,1,8,0.4482758620689655,0.5172413793103449,29,-0.06896551724137934
cub200,S1,ResNet-50,resnet50,1,9,0.8666666666666667,0.1,30,0.7666666666666667
cub200,S1,ResNet-50,resnet50,1,10,0.6333333333333333,0.43333333333333335,30,0.19999999999999996
cub200,S1,ResNet-50,resnet50,1,11,0.9230769230769231,0.07692307692307693,26,0.8461538461538463
cub200,S1,ResNet-50,resnet50,1,12,0.9,0.8,30,0.09999999999999998
cub200,S1,ResNet-50,resnet50,1,13,0.8666666666666667,0.0,30,0.8666666666666667
cub200,S1,ResNet-50,resnet50,1,14,0.9285714285714286,0.07142857142857142,28,0.8571428571428572
cub200,S1,ResNet-50,resnet50,1,15,0.9285714285714286,0.0,28,0.9285714285714286
cub200,S1,ResNet-50,resnet50,1,16,0.9259259259259259,0.2222222222222222,27,0.7037037037037037
cub200,S1,ResNet-50,resnet50,1,17,1.0,0.4666666666666667,15,0.5333333333333333
cub200,S1,ResNet-50,resnet50,1,18,0.8275862068965517,0.06896551724137931,29,0.7586206896551724
cub200,S1,ResNet-50,resnet50,1,19,0.7241379310344828,0.0,29,0.7241379310344828
cub200,S1,ResNet-50,resnet50,1,20,0.9666666666666667,0.3333333333333333,30,0.6333333333333333
cub200,S1,ResNet-50,resnet50,1,21,0.6923076923076923,0.38461538461538464,26,0.30769230769230765
cub200,S1,ResNet-50,resnet50,1,22,0.5862068965517241,0.4482758620689655,29,0.13793103448275856
cub200,S1,ResNet-50,resnet50,1,23,0.8636363636363636,0.2727272727272727,22,0.5909090909090909
cub200,S1,ResNet-50,resnet50,1,24,0.4,0.7,30,-0.29999999999999993
cub200,S1,ResNet-50,resnet50,1,25,0.9,0.0,30,0.9
cub200,S1,ResNet-50,resnet50,1,26,0.26666666666666666,0.3,30,-0.033333333333333326
cub200,S1,ResNet-50,resnet50,1,27,0.8620689655172413,0.8620689655172413,29,0.0
cub200,S1,ResNet-50,resnet50,1,28,0.4,0.4,30,0.0
cub200,S1,ResNet-50,resnet50,1,29,0.5333333333333333,0.5,30,0.033333333333333326
cub200,S1,ResNet-50,resnet50,1,30,0.7333333333333333,0.43333333333333335,30,0.29999999999999993
cub200,S1,ResNet-50,resnet50,1,31,0.6521739130434783,0.21739130434782608,23,0.4347826086956522
cub200,S1,ResNet-50,resnet50,1,32,0.5517241379310345,0.20689655172413793,29,0.3448275862068966
cub200,S1,ResNet-50,resnet50,1,33,0.9655172413793104,0.3793103448275862,29,0.5862068965517242
cub200,S1,ResNet-50,resnet50,1,34,0.9666666666666667,0.4666666666666667,30,0.5
cub200,S1,ResNet-50,resnet50,1,35,0.9666666666666667,0.9,30,0.06666666666666665
