dataset,id,backbone,arm,y_true,n_img,n_seed,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
cub200,S1,ResNet-50,resnet50,62,30,5,0.8133333333333332,0.04472135954999579,0.7133333333333333,0.03800584750330463,0.10000000000000006,0.052704627669472995
cub200,S1,ResNet-50,resnet50,63,30,5,0.42000000000000004,0.05055250296034368,0.2733333333333333,0.027888667551135844,0.14666666666666667,0.055777335102271695
cub200,S1,ResNet-50,resnet50,64,20,5,0.6,0.04999999999999999,0.47000000000000003,0.04472135954999579,0.13000000000000003,0.04472135954999577
cub200,S1,ResNet-50,resnet50,65,30,5,0.6666666666666666,0.05270462766947298,0.6466666666666667,0.10434983894999017,0.019999999999999997,0.1095445115010332
cub200,S1,ResNet-50,resnet50,66,30,5,0.6733333333333332,0.036514837167011066,0.5266666666666666,0.12110601416389964,0.14666666666666664,0.0869226987360353
cub200,S1,ResNet-50,resnet50,67,30,5,0.86,0.036514837167011066,0.5266666666666666,0.04346134936801765,0.33333333333333337,0.062360956446232345
cub200,S1,ResNet-50,resnet50,68,30,5,0.7866666666666667,0.03800584750330463,0.4066666666666666,0.06831300510639733,0.38,0.0836660026534076
cub200,S1,ResNet-50,resnet50,69,30,5,0.9866666666666667,0.018257418583505533,0.0,0.0,0.9866666666666667,0.018257418583505533
cub200,S1,ResNet-50,resnet50,70,30,5,0.42000000000000004,0.09309493362512627,0.4066666666666666,0.05477225575051663,0.013333333333333353,0.07302967433402215
cub200,S1,ResNet-50,resnet50,71,30,5,0.5666666666666667,0.0408248290463863,0.27999999999999997,0.06912147117775905,0.2866666666666667,0.05577733510227169
cub200,S1,ResNet-50,resnet50,72,30,5,0.9066666666666666,0.036514837167011066,0.42666666666666664,0.04346134936801767,0.4800000000000001,0.03800584750330463
cub200,S1,ResNet-50,resnet50,73,30,5,0.9933333333333334,0.014907119849998594,0.08,0.060553007081949835,0.9133333333333333,0.06912147117775905
cub200,S1,ResNet-50,resnet50,74,27,5,0.9407407407407407,0.020286020648339457,0.274074074074074,0.09658077637337258,0.6666666666666667,0.10143010324169739
cub200,S1,ResNet-50,resnet50,75,30,5,0.9199999999999999,0.018257418583505533,0.7066666666666667,0.049441323247304436,0.21333333333333337,0.03800584750330463
cub200,S1,ResNet-50,resnet50,76,30,5,0.9733333333333334,0.036514837167011066,0.006666666666666666,0.014907119849998596,0.9666666666666666,0.04714045207910316
cub200,S1,ResNet-50,resnet50,77,29,5,0.8551724137931034,0.05666095422467234,0.46896551724137936,0.15536386656646634,0.38620689655172413,0.1228864115945204
cub200,S1,ResNet-50,resnet50,78,30,5,0.8533333333333333,0.04472135954999579,0.5066666666666666,0.09831920802501748,0.3466666666666667,0.0869226987360353
cub200,S1,ResNet-50,resnet50,79,30,5,0.8,0.02357022603955158,0.6799999999999999,0.03800584750330459,0.12000000000000008,0.03800584750330459
cub200,S1,ResNet-50,resnet50,80,30,5,0.9,0.0,0.8266666666666668,0.014907119849998594,0.07333333333333332,0.014907119849998594
cub200,S1,ResNet-50,resnet50,81,30,5,0.8200000000000001,0.029814239699997188,0.36666666666666664,0.1130388330520878,0.4533333333333333,0.1386442289539028
cub200,S1,ResNet-50,resnet50,82,30,5,0.96,0.014907119849998596,0.19333333333333333,0.07226494462892934,0.7666666666666667,0.07817359599705717
cub200,S1,ResNet-50,resnet50,83,23,5,0.8347826086956521,0.019444069369563374,0.5826086956521739,0.10470951807645475,0.25217391304347825,0.09425862342903828
cub200,S1,ResNet-50,resnet50,84,30,5,0.9533333333333334,0.018257418583505533,0.7933333333333333,0.027888667551135848,0.15999999999999998,0.036514837167011066
cub200,S1,ResNet-50,resnet50,85,30,5,0.8666666666666668,0.05270462766947298,0.9533333333333334,0.05055250296034366,-0.08666666666666664,0.06055300708194982
cub200,S1,ResNet-50,resnet50,86,30,5,0.8266666666666668,0.04346134936801765,0.1,0.047140452079103175,0.7266666666666668,0.059628479399994376
cub200,S1,ResNet-50,resnet50,87,30,5,0.9466666666666667,0.029814239699997188,0.13333333333333333,0.10540925533894598,0.8133333333333332,0.0869226987360353
cub200,S1,ResNet-50,resnet50,88,30,5,0.8,0.0,0.7466666666666667,0.018257418583505595,0.053333333333333385,0.018257418583505592
cub200,S1,ResNet-50,resnet50,89,30,5,0.9199999999999999,0.018257418583505533,0.58,0.05577733510227169,0.34,0.06411794687223779
cub200,S1,ResNet-50,resnet50,90,30,5,0.6333333333333333,0.04714045207910316,0.6199999999999999,0.05055250296034366,0.01333333333333333,0.03800584750330459
