dataset,id,backbone,arm,y_true,n_img,n_seed,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
flowers102,S1,ResNet-50,resnet50,79,85,5,0.9576470588235294,0.03489975758633255,0.44000000000000006,0.08669239259736725,0.5176470588235293,0.1055550496760374
flowers102,S1,ResNet-50,resnet50,80,146,5,0.9506849315068493,0.017729012473349032,0.40684931506849314,0.09705747717215535,0.5438356164383562,0.10922456513794886
flowers102,S1,ResNet-50,resnet50,81,92,5,0.7695652173913043,0.0551034428505938,0.6934782608695652,0.09914568913905546,0.07608695652173911,0.07608695652173914
flowers102,S1,ResNet-50,resnet50,82,111,5,0.7153153153153153,0.029606624730008982,0.41441441441441446,0.1254809754701272,0.3009009009009009,0.10184564152117176
flowers102,S1,ResNet-50,resnet50,83,66,5,0.6363636363636364,0.07422696190252055,0.40909090909090906,0.12026142323020865,0.22727272727272724,0.1465081788319221
flowers102,S1,ResNet-50,resnet50,84,43,5,0.9395348837209303,0.012737733895469002,0.32558139534883723,0.13155474998819489,0.6139534883720931,0.1301079137739476
flowers102,S1,ResNet-50,resnet50,85,38,5,0.9368421052631579,0.030004616449977317,0.8473684210526315,0.06811673213444625,0.0894736842105263,0.06058349701695442
flowers102,S1,ResNet-50,resnet50,86,43,5,0.8697674418604651,0.05837162975819129,0.7488372093023256,0.09214703607515791,0.12093023255813953,0.057906509758087164
flowers102,S1,ResNet-50,resnet50,87,134,5,0.755223880597015,0.04582113860599628,0.5791044776119403,0.09992757457474923,0.17611940298507464,0.07398981825639064
flowers102,S1,ResNet-50,resnet50,88,164,5,0.896341463414634,0.03476144588716884,0.01097560975609756,0.015182804387791137,0.8853658536585366,0.03961068724124809
flowers102,S1,ResNet-50,resnet50,89,62,5,0.7483870967741935,0.051763892051229714,0.0,0.0,0.7483870967741935,0.051763892051229714
flowers102,S1,ResNet-50,resnet50,90,56,5,0.7571428571428571,0.058684559732696394,0.3464285714285714,0.08802683959904455,0.41071428571428575,0.11978935593748874
flowers102,S1,ResNet-50,resnet50,91,46,5,0.9652173913043478,0.011907012119677518,0.6434782608695653,0.0955038375499513,0.32173913043478264,0.10009447333235946
flowers102,S1,ResNet-50,resnet50,92,26,5,0.7769230769230769,0.03217923178977216,0.6307692307692309,0.15764539639937844,0.14615384615384613,0.13706561293234967
flowers102,S1,ResNet-50,resnet50,93,142,5,0.9507042253521126,0.01113478049355065,0.8605633802816902,0.060661564696783195,0.0901408450704225,0.05160583369172188
flowers102,S1,ResNet-50,resnet50,94,108,5,0.787037037037037,0.03139967584780216,0.38333333333333336,0.06300379939334813,0.40370370370370373,0.06854353897526572
flowers102,S1,ResNet-50,resnet50,95,71,5,0.476056338028169,0.06928661338731741,0.2028169014084507,0.08004660415990324,0.2732394366197183,0.04838187052765542
flowers102,S1,ResNet-50,resnet50,96,46,5,0.791304347826087,0.03296902366978933,0.1869565217391304,0.08776795320950585,0.6043478260869566,0.09015844066664223
flowers102,S1,ResNet-50,resnet50,97,62,5,0.935483870967742,0.037825933546963154,0.7580645161290323,0.13733376101553552,0.1774193548387097,0.16048184469461615
flowers102,S1,ResNet-50,resnet50,98,43,5,0.8744186046511627,0.0628337492377037,0.586046511627907,0.14927261893842989,0.28837209302325584,0.0938912987822621
flowers102,S1,ResNet-50,resnet50,99,29,5,0.9655172413793103,1.2412670766236366e-16,0.503448275862069,0.31754108781300244,0.46206896551724147,0.31754108781300244
flowers102,S1,ResNet-50,resnet50,100,38,5,0.9105263157894736,0.023537557657892498,0.03684210526315789,0.03000461644997731,0.8736842105263157,0.04707511531578505
flowers102,S1,ResNet-50,resnet50,101,28,5,0.9857142857142858,0.01956151991089878,0.4142857142857143,0.0896421457000795,0.5714285714285714,0.08375742428256122
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,0,20,5,1.0,0.0,0.93,0.057008771254956896,0.07000000000000002,0.057008771254956896
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,1,40,5,0.9649999999999999,0.022360679774997918,0.95,0.017677669529663664,0.01499999999999999,0.013693063937629145
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,2,20,5,0.76,0.10839741694339401,0.51,0.14317821063276354,0.25,0.07905694150420947
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,3,36,5,0.7222222222222222,0.019641855032959663,0.7222222222222222,0.0809854429839625,-2.2204460492503132e-17,0.07081971546656644
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,4,45,5,0.9199999999999999,0.02533723166886977,0.11111111111111112,0.08314794192830981,0.8088888888888889,0.08549059582965046
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,5,25,5,0.984,0.021908902300206663,0.8880000000000001,0.06572670690061992,0.09599999999999997,0.08294576541331089
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,6,20,5,1.0,0.0,0.8799999999999999,0.1151086443322134,0.12000000000000002,0.11510864433221339
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,7,65,5,1.0,0.0,0.8892307692307693,0.12230527331908794,0.11076923076923073,0.12230527331908794
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,8,26,5,0.9384615384615385,0.021066252211737146,0.6307692307692307,0.11080661762221489,0.30769230769230776,0.11213369028548656
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,9,25,5,1.0,0.0,1.0,0.0,0.0,0.0
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,10,67,5,0.7522388059701492,0.04790091503248122,0.3044776119402985,0.19563059555595158,0.4477611940298507,0.20273250309262875
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,11,67,5,0.964179104477612,0.00817496354485325,0.5134328358208955,0.13581269452032627,0.4507462686567164,0.14214410090518365
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,12,29,5,1.0,0.0,0.993103448275862,0.015421158465515773,0.006896551724137922,0.015421158465515773
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,13,28,5,0.95,0.01956151991089878,0.9642857142857142,1.2412670766236366e-16,-0.01428571428571428,0.01956151991089878
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,14,29,5,1.0,0.0,0.19310344827586207,0.1913715438001601,0.8068965517241379,0.19137154380016014
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,15,21,5,0.9333333333333332,0.05429406786186372,0.009523809523809523,0.021295885499997995,0.9238095238095237,0.07221786137191952
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,16,65,5,0.9876923076923078,0.00688020916153779,0.8492307692307692,0.0886452940977719,0.1384615384615385,0.08634593969478327
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,17,62,5,0.9451612903225806,0.02446088852919858,0.9064516129032258,0.06689174630105718,0.03870967741935483,0.08504146017073598
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,18,29,5,0.9172413793103449,0.05229569271759691,0.7172413793103448,0.07863278793787161,0.2,0.10739594139584445
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,19,36,5,0.9833333333333334,0.015214515486254621,0.8444444444444444,0.1340835376238574,0.1388888888888889,0.12880025688188473
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,20,20,5,0.9800000000000001,0.02738612787525833,0.6799999999999999,0.1753567791675018,0.3,0.19039432764659772
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,21,39,5,1.0,0.0,0.8205128205128205,0.11889254481404746,0.1794871794871795,0.11889254481404746
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,22,71,5,0.8816901408450704,0.021360212518455095,0.8732394366197184,0.04879016359348949,0.008450704225352101,0.029206255427222102
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,23,22,5,1.0,0.0,0.8545454545454545,0.09315409787236001,0.14545454545454545,0.09315409787236001
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,24,21,5,1.0,0.0,0.8857142857142858,0.09874495882537009,0.1142857142857143,0.09874495882537007
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,25,21,5,0.8952380952380953,0.052164053095730085,0.30476190476190473,0.170367083999984,0.5904761904761905,0.20919888225227426
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,26,20,5,1.0,0.0,0.41,0.24849547279578355,0.5900000000000001,0.24849547279578352
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,27,46,5,0.9956521739130434,0.009722034684781689,0.30869565217391304,0.10357503695279648,0.6869565217391305,0.1071631090770977
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,28,58,5,0.9724137931034484,0.015421158465515773,0.7620689655172413,0.07844353907639534,0.21034482758620693,0.0839355961699178
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,29,65,5,0.8338461538461539,0.01685300176938973,0.5907692307692308,0.055041673292302515,0.2430769230769231,0.04913452130052712
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,30,32,5,0.95,0.01711632992203644,0.8125,0.06629126073623882,0.1375,0.06091746465505602
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,31,25,5,0.8960000000000001,0.08763560920082653,0.656,0.35844106907551765,0.24,0.2870540018881465
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,32,26,5,0.9846153846153847,0.021066252211737146,0.9076923076923077,0.043852900965351486,0.07692307692307691,0.04710557197659959
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,33,20,5,1.0,0.0,0.78,0.14404860290887936,0.22000000000000003,0.14404860290887933
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,34,23,5,1.0,0.0,1.0,0.0,0.0,0.0
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,35,55,5,0.989090909090909,0.016262312563634838,0.9563636363636363,0.030424000964875485,0.03272727272727274,0.03497342556667518
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,36,88,5,0.9931818181818182,0.00622411997164961,0.9318181818181819,0.038535965813211774,0.06136363636363638,0.03273831884292715
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,37,36,5,0.9888888888888889,0.015214515486254621,0.9944444444444445,0.012422599874998837,-0.005555555555555558,0.02324055629261322
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,38,21,5,0.9428571428571428,0.052164053095730106,0.638095238095238,0.1800730514398956,0.3047619047619048,0.14521857792358958
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,39,47,5,0.9531914893617021,0.027741286830649556,0.7702127659574468,0.1129865365732064,0.1829787234042553,0.11808031425967326
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,40,107,5,0.9551401869158879,0.007819252584430614,0.930841121495327,0.029994030908189185,0.02429906542056075,0.02692497250633259
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,41,39,5,0.9794871794871796,0.021452821193181443,0.21025641025641026,0.19477055399828658,0.7692307692307692,0.18929260333632564
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,42,110,5,0.7690909090909092,0.02456228379292053,0.4927272727272728,0.13717937825410137,0.27636363636363637,0.13974593239101707
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,43,73,5,0.9863013698630138,0.016777327005364256,0.9616438356164384,0.035458024946698044,0.02465753424657533,0.02634984118037171
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,44,20,5,1.0,0.0,0.82,0.15652475842498526,0.18,0.15652475842498526
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,45,176,5,0.9829545454545455,0.004017652165832653,0.22613636363636366,0.2383453311915852,0.7568181818181818,0.23486604895219151
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,46,47,5,0.9914893617021276,0.011653671436280147,0.48936170212765956,0.2897837972739625,0.502127659574468,0.29885854977733417
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,47,51,5,0.9215686274509803,0.019607843137254888,0.19215686274509805,0.15771825531129574,0.7294117647058823,0.1469934495215005
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,48,29,5,1.0,0.0,0.8482758620689654,0.14342506443507186,0.15172413793103448,0.14342506443507186
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,49,72,5,0.9722222222222221,0.017010345435994324,0.058333333333333334,0.12282050538574524,0.913888888888889,0.11553685746158568
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,50,238,5,0.6890756302521008,0.05120192271829388,0.853781512605042,0.05071691387229046,-0.16470588235294115,0.08007481848451496
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,51,65,5,0.9969230769230769,0.00688020916153779,0.9261538461538462,0.05998027289113208,0.07076923076923074,0.06211270534826568
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,52,73,5,0.8027397260273972,0.045018292397684866,0.6164383561643836,0.2741437821395822,0.18630136986301365,0.23360080818950366
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,53,41,5,0.9902439024390244,0.02181529734146138,0.8926829268292682,0.08378323920642763,0.0975609756097561,0.08449028329604277
